country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0,0,0,0,0,0,,,,,,1020,1030,20800,26200,314000,557000,515000,510000,1010000,1170000,1510000,1700000,1900000,2340000,2840000,3960000,4900000,5020000,5140000
Albania,0,0,0,0,0,348,998,1510,2020,2540,3570,10200,12200,30300,75200,187000,294000,456000,716000,1220000,1330000,1440000,1590000,1660000,1740000,1830000,1920000,2070000,2070000,2010000
Algeria,0,0,0,0,102,509,509,3050,6110,61100,153000,203000,507000,708000,1520000,1940000,2480000,3230000,3540000,3970000,4500000,5460000,6800000,8580000,11500000,15200000,17400000,19700000,25200000,25700000
Andorra,0,0,0,0,0,0,983,1960,4420,4920,6890,7100,7890,9910,20500,29700,39600,58600,58700,66300,68400,67800,71200,75900,76000,75600,75700,70500,70500,70600
Angola,0,0,0,0,0,0,112,844,2830,11400,17200,23000,47400,67200,87200,222000,302000,355000,412000,518000,654000,751000,1630000,2320000,5770000,3460000,3750000,4280000,4420000,4560000
Antigua and Barbuda,0,0,0,0,0,1510,2010,2500,2980,3960,4930,6870,9790,13700,19500,22000,24800,28600,32500,36400,41400,46400,52400,58000,62700,65500,69000,72500,73200,73800
Argentina,0,0,1000,10000,15000,30000,50000,100000,300000,1200000,2600000,3650000,4100000,4540000,6170000,6890000,8220000,10300000,11300000,13800000,18400000,21100000,23300000,25300000,27600000,29300000,30900000,32600000,33000000,33300000
Armenia,0,0,0,0,299,1700,3000,3500,4000,30000,39900,49800,59500,138000,147000,157000,167000,177000,181000,442000,719000,920000,1080000,1210000,1590000,1730000,1890000,1910000,1910000,1910000
Australia,99200,189000,308000,348000,397000,497000,596000,3010000,5730000,7660000,8880000,10100000,10200000,10300000,10500000,12700000,13500000,14500000,15300000,16200000,16800000,17900000,18100000,19400000,19800000,20200000,21000000,21300000,21500000,21800000
Austria,10100,20100,50300,60400,111000,151000,554000,766000,1240000,1860000,2720000,3170000,2970000,3490000,4460000,4790000,5270000,5770000,6080000,6150000,6320000,6660000,6800000,6900000,6980000,7280000,7380000,7760000,7800000,7860000
Azerbaijan,0,0,0,0,110,160,499,2000,3000,7990,12000,25000,414000,418000,422000,686000,1030000,1270000,1510000,2450000,4150000,4570000,5020000,6850000,7130000,7410000,7610000,7780000,7940000,8020000
Bahamas,0,0,0,0,0,2690,4960,3920,6790,11100,23800,35700,55400,62600,70200,81200,86100,91100,108000,118000,153000,234000,261000,264000,285000,292000,302000,324000,328000,331000
Bahrain,0,0,0,0,0,1950,4880,9790,19800,30000,40900,105000,133000,168000,178000,189000,271000,341000,579000,628000,682000,984000,1140000,1180000,1210000,1280000,1400000,1430000,1550000,1640000
Bangladesh,0,0,0,0,0,0,,902,4520,45300,90700,169000,185000,221000,273000,336000,1410000,2570000,3610000,4520000,5460000,6720000,7550000,10100000,21500000,22500000,28500000,24000000,24200000,21000000
Barbados,0,0,0,0,0,21,1040,2100,5310,6430,10800,32500,76100,109000,137000,145000,153000,162000,172000,182000,184000,188000,202000,204000,214000,217000,227000,234000,234000,235000
Belarus,0,0,0,0,49,294,2940,4910,7370,49100,184000,422000,872000,866000,861000,856000,1540000,1870000,2170000,2590000,3000000,3730000,4420000,5100000,5570000,5870000,6720000,7030000,7480000,7830000
Belgium,101,2020,10100,20200,70700,101000,303000,505000,807000,1410000,3030000,3230000,4800000,5210000,5640000,5890000,6340000,6890000,7110000,7600000,8200000,8990000,8950000,9170000,9540000,9600000,9820000,10000000,10200000,10400000
Belize,0,0,0,0,0,94,1890,2860,4820,9740,14700,15200,14900,15300,27100,48200,69900,73600,80700,85600,90900,101000,105000,116000,137000,150000,164000,177000,180000,184000
Benin,0,0,0,0,0,0,103,1550,3100,10300,15500,25700,51300,71500,91600,101000,126000,151000,161000,200000,288000,392000,438000,490000,617000,1190000,1300000,2240000,2300000,2360000
